id,type,x,y,weight_to_RIGHT,weight_to_UP,weight_to_LEFT,weight_to_DOWN,weight_for_WAIT
0,T,0,0,inf,inf,inf,inf,inf
1,T,0,1,inf,inf,inf,inf,inf
2,T,0,2,inf,inf,inf,inf,inf
3,T,0,3,inf,inf,inf,inf,inf
4,T,0,4,inf,inf,inf,inf,inf
5,T,0,5,inf,inf,inf,inf,inf
6,T,0,6,inf,inf,inf,inf,inf
7,T,0,7,inf,inf,inf,inf,inf
8,T,0,8,inf,inf,inf,inf,inf
9,T,0,9,inf,inf,inf,inf,inf
10,T,0,10,inf,inf,inf,inf,inf
11,T,0,11,inf,inf,inf,inf,inf
12,T,0,12,inf,inf,inf,inf,inf
13,T,0,13,inf,inf,inf,inf,inf
14,T,0,14,inf,inf,inf,inf,inf
15,T,0,15,inf,inf,inf,inf,inf
16,T,0,16,inf,inf,inf,inf,inf
17,T,0,17,inf,inf,inf,inf,inf
18,T,0,18,inf,inf,inf,inf,inf
19,T,0,19,inf,inf,inf,inf,inf
20,T,0,20,inf,inf,inf,inf,inf
21,T,0,21,inf,inf,inf,inf,inf
22,T,0,22,inf,inf,inf,inf,inf
23,T,0,23,inf,inf,inf,inf,inf
24,T,0,24,inf,inf,inf,inf,inf
25,T,0,25,inf,inf,inf,inf,inf
26,T,0,26,inf,inf,inf,inf,inf
27,T,0,27,inf,inf,inf,inf,inf
28,T,0,28,inf,inf,inf,inf,inf
29,T,0,29,inf,inf,inf,inf,inf
30,T,0,30,inf,inf,inf,inf,inf
31,T,0,31,inf,inf,inf,inf,inf
32,T,0,32,inf,inf,inf,inf,inf
33,T,0,33,inf,inf,inf,inf,inf
34,T,0,34,inf,inf,inf,inf,inf
35,T,0,35,inf,inf,inf,inf,inf
36,T,0,36,inf,inf,inf,inf,inf
37,T,0,37,inf,inf,inf,inf,inf
38,T,0,38,inf,inf,inf,inf,inf
39,T,0,39,inf,inf,inf,inf,inf
40,T,0,40,inf,inf,inf,inf,inf
41,T,0,41,inf,inf,inf,inf,inf
42,T,0,42,inf,inf,inf,inf,inf
43,T,0,43,inf,inf,inf,inf,inf
44,T,0,44,inf,inf,inf,inf,inf
45,T,0,45,inf,inf,inf,inf,inf
46,T,0,46,inf,inf,inf,inf,inf
47,T,0,47,inf,inf,inf,inf,inf
48,T,0,48,inf,inf,inf,inf,inf
49,T,0,49,inf,inf,inf,inf,inf
50,T,0,50,inf,inf,inf,inf,inf
51,T,0,51,inf,inf,inf,inf,inf
52,T,0,52,inf,inf,inf,inf,inf
53,T,0,53,inf,inf,inf,inf,inf
54,T,0,54,inf,inf,inf,inf,inf
55,T,0,55,inf,inf,inf,inf,inf
56,T,0,56,inf,inf,inf,inf,inf
57,T,0,57,inf,inf,inf,inf,inf
58,T,0,58,inf,inf,inf,inf,inf
59,T,0,59,inf,inf,inf,inf,inf
60,T,0,60,inf,inf,inf,inf,inf
61,T,0,61,inf,inf,inf,inf,inf
62,T,0,62,inf,inf,inf,inf,inf
63,T,0,63,inf,inf,inf,inf,inf
64,T,0,64,inf,inf,inf,inf,inf
65,T,1,0,inf,inf,inf,inf,inf
66,T,1,1,inf,inf,inf,inf,inf
67,T,1,2,inf,inf,inf,inf,inf
68,T,1,3,inf,inf,inf,inf,inf
69,T,1,4,inf,inf,inf,inf,inf
70,T,1,5,inf,inf,inf,inf,inf
71,T,1,6,inf,inf,inf,inf,inf
72,T,1,7,inf,inf,inf,inf,inf
73,T,1,8,inf,inf,inf,inf,inf
74,T,1,9,inf,inf,inf,inf,inf
75,T,1,10,inf,inf,inf,inf,inf
76,T,1,11,inf,inf,inf,inf,inf
77,T,1,12,inf,inf,inf,inf,inf
78,T,1,13,inf,inf,inf,inf,inf
79,T,1,14,inf,inf,inf,inf,inf
80,T,1,15,inf,inf,inf,inf,inf
81,T,1,16,inf,inf,inf,inf,inf
82,T,1,17,inf,inf,inf,inf,inf
83,T,1,18,inf,inf,inf,inf,inf
84,T,1,19,inf,inf,inf,inf,inf
85,T,1,20,inf,inf,inf,inf,inf
86,T,1,21,inf,inf,inf,inf,inf
87,T,1,22,inf,inf,inf,inf,inf
88,T,1,23,inf,inf,inf,inf,inf
89,T,1,24,inf,inf,inf,inf,inf
90,T,1,25,inf,inf,inf,inf,inf
91,T,1,26,inf,inf,inf,inf,inf
92,T,1,27,inf,inf,inf,inf,inf
93,T,1,28,inf,inf,inf,inf,inf
94,T,1,29,inf,inf,inf,inf,inf
95,T,1,30,inf,inf,inf,inf,inf
96,T,1,31,inf,inf,inf,inf,inf
97,T,1,32,inf,inf,inf,inf,inf
98,T,1,33,inf,inf,inf,inf,inf
99,T,1,34,inf,inf,inf,inf,inf
100,T,1,35,inf,inf,inf,inf,inf
101,T,1,36,inf,inf,inf,inf,inf
102,T,1,37,inf,inf,inf,inf,inf
103,T,1,38,inf,inf,inf,inf,inf
104,T,1,39,inf,inf,inf,inf,inf
105,T,1,40,inf,inf,inf,inf,inf
106,T,1,41,inf,inf,inf,inf,inf
107,T,1,42,inf,inf,inf,inf,inf
