id,type,x,y,weight_to_RIGHT,weight_to_UP,weight_to_LEFT,weight_to_DOWN,weight_for_WAIT
0,.,0,0,48.09158706665039,inf,inf,56.64231872558594,100.0
1,.,0,1,59.57042694091797,inf,33.2866096496582,59.35072326660156,100.0
2,.,0,2,59.402870178222656,inf,33.2866096496582,inf,100.0
3,.,0,3,56.37696838378906,inf,33.2866096496582,59.532325744628906,100.0
4,.,0,4,59.57042694091797,inf,33.2866096496582,59.77882385253906,100.0
5,.,0,5,inf,inf,33.2866096496582,58.964385986328125,100.0
6,@,0,6,inf,inf,inf,inf,inf
7,.,0,7,59.57042694091797,inf,inf,59.916847229003906,100.0
8,.,0,8,inf,inf,33.2866096496582,inf,100.0
9,@,0,9,inf,inf,inf,inf,inf
10,.,0,10,59.57042694091797,inf,inf,59.66924285888672,100.0
11,.,0,11,59.57042694091797,inf,33.2866096496582,59.916847229003906,100.0
12,.,0,12,inf,inf,33.2866096496582,inf,100.0
13,@,0,13,inf,inf,inf,inf,inf
14,@,0,14,inf,inf,inf,inf,inf
15,@,0,15,inf,inf,inf,inf,inf
16,.,0,16,inf,inf,inf,58.768184661865234,100.0
17,@,0,17,inf,inf,inf,inf,inf
18,.,0,18,59.57042694091797,inf,inf,59.49274444580078,100.0
19,.,0,19,inf,inf,33.2866096496582,59.27901077270508,100.0
20,@,0,20,inf,inf,inf,inf,inf
21,.,0,21,59.57042694091797,inf,inf,59.13981628417969,100.0
22,.,0,22,59.57042694091797,inf,33.2866096496582,59.70618438720703,100.0
23,.,0,23,59.57042694091797,inf,33.2866096496582,59.540771484375,100.0
24,.,0,24,inf,inf,33.2866096496582,58.692298889160156,100.0
25,@,0,25,inf,inf,inf,inf,inf
26,.,0,26,59.57042694091797,inf,inf,59.66729736328125,100.0
27,.,0,27,inf,inf,33.2866096496582,58.959754943847656,100.0
28,@,0,28,inf,inf,inf,inf,inf
29,.,0,29,59.57042694091797,inf,inf,59.01441955566406,100.0
30,.,0,30,59.57042694091797,inf,33.2866096496582,inf,100.0
31,.,0,31,59.57042694091797,inf,33.2866096496582,59.318748474121094,100.0
32,.,0,32,inf,inf,33.2866096496582,59.22553253173828,100.0
33,@,0,33,inf,inf,inf,inf,inf
34,.,0,34,59.57042694091797,inf,inf,59.71879196166992,100.0
35,.,0,35,58.44371032714844,inf,33.2866096496582,59.916847229003906,100.0
36,.,0,36,59.008785247802734,inf,33.2866096496582,59.916847229003906,100.0
37,.,0,37,57.24690628051758,inf,33.2866096496582,59.45694351196289,100.0
38,.,0,38,56.228572845458984,inf,33.2866096496582,59.59980392456055,100.0
39,.,0,39,59.081058502197266,inf,33.2866096496582,59.58478546142578,100.0
40,.,0,40,58.50575637817383,inf,33.2866096496582,inf,100.0
41,.,0,41,56.507423400878906,inf,33.2866096496582,59.5634880065918,100.0
42,.,0,42,58.03661346435547,inf,33.2866096496582,59.795772552490234,100.0
43,.,0,43,59.38700866699219,inf,33.2866096496582,59.87014389038086,100.0
44,.,0,44,59.57042694091797,inf,33.2866096496582,inf,100.0
45,.,0,45,56.355712890625,inf,33.2866096496582,59.41193771362305,100.0
46,.,0,46,59.57042694091797,inf,33.2866096496582,59.916847229003906,100.0
47,.,0,47,59.57042694091797,inf,33.2866096496582,59.916847229003906,100.0
48,.,0,48,inf,inf,33.2866096496582,inf,100.0
49,@,0,49,inf,inf,inf,inf,inf
50,.,0,50,59.57042694091797,inf,inf,inf,100.0
51,.,0,51,57.913368225097656,inf,33.2866096496582,59.543426513671875,100.0
52,.,0,52,59.57042694091797,inf,33.2866096496582,inf,100.0
53,.,0,53,57.551509857177734,inf,33.2866096496582,58.52325439453125,100.0
54,.,0,54,59.57042694091797,inf,33.2866096496582,inf,100.0
55,.,0,55,58.673072814941406,inf,33.2866096496582,59.7520637512207,100.0
56,.,0,56,59.57042694091797,inf,33.2866096496582,59.916847229003906,100.0
57,.,0,57,58.38631057739258,inf,33.2866096496582,59.70389938354492,100.0
58,.,0,58,59.57042694091797,inf,33.2866096496582,59.71754837036133,100.0
59,.,0,59,inf,inf,33.2866096496582,59.110923767089844,100.0
60,@,0,60,inf,inf,inf,inf,inf
61,@,0,61,inf,inf,inf,inf,inf
62,.,0,62,59.57042694091797,inf,inf,59.916847229003906,100.0
63,.,0,63,inf,inf,33.2866096496582,57.33012771606445,100.0
64,.,1,0,21.752628326416016,43.13519287109375,inf,51.62446975708008,100.0
65,.,1,1,inf,35.16973114013672,36.018917083740234,56.83749771118164,100.0
66,@,1,2,inf,inf,inf,inf,inf
67,.,1,3,47.49116897583008,33.988426208496094,inf,inf,99.59915161132812
68,.,1,4,48.07270431518555,33.988426208496094,33.2866096496582,58.42917251586914,99.69050598144531
69,.,1,5,52.527584075927734,33.988426208496094,33.5612907409668,inf,100.0
70,.,1,6,44.4487190246582,inf,33.2866096496582,57.030426025390625,94.30397033691406
71,.,1,7,inf,33.988426208496094,34.25062942504883,57.82659149169922,100.0
72,@,1,8,inf,inf,inf,inf,inf
73,@,1,9,inf,inf,inf,inf,inf
74,.,1,10,45.9029426574707,33.988426208496094,inf,56.69969177246094,100.0
75,.,1,11,inf,36.09819412231445,35.83018493652344,57.31638717651367,100.0
76,@,1,12,inf,inf,inf,inf,inf
77,.,1,13,43.844383239746094,inf,inf,56.83218002319336,100.0
78,.,1,14,51.55396270751953,inf,34.67892837524414,inf,100.0
79,.,1,15,37.149078369140625,inf,33.2866096496582,56.85916519165039,95.36167907714844
80,.,1,16,47.2244987487793,35.2237548828125,33.80302810668945,58.58390426635742,100.0
81,.,1,17,42.559993743896484,inf,35.84253692626953,53.80525207519531,93.30883026123047
82,.,1,18,40.10549545288086,35.92598342895508,38.03046417236328,57.77286911010742,100.0
83,.,1,19,49.76838302612305,36.79499053955078,37.0722770690918,58.90977096557617,99.66244506835938
84,.,1,20,39.67359161376953,inf,35.6536865234375,56.19801330566406,93.80211639404297
85,.,1,21,36.45684814453125,41.38054275512695,36.90898132324219,56.546871185302734,100.0
86,.,1,22,41.83928298950195,41.096717834472656,36.913185119628906,56.45622634887695,92.88652801513672
87,.,1,23,44.1295051574707,35.64970779418945,36.723060607910156,58.69954299926758,100.0
88,.,1,24,50.511329650878906,34.291412353515625,34.38485336303711,58.057579040527344,100.0
89,.,1,25,44.24686813354492,inf,33.2866096496582,inf,96.0918197631836
90,.,1,26,37.44012451171875,39.40609359741211,36.194618225097656,inf,100.0
91,.,1,27,48.5621452331543,35.18828582763672,34.37925720214844,59.34322738647461,100.0
92,.,1,28,49.832908630371094,inf,33.2866096496582,56.92837905883789,98.4224853515625
93,.,1,29,inf,46.4788932800293,36.75448989868164,inf,99.64726257324219
94,@,1,30,inf,inf,inf,inf,inf
95,.,1,31,49.0270881652832,33.988426208496094,inf,57.71875762939453,97.1366195678711
96,.,1,32,54.33184051513672,33.988426208496094,35.8901252746582,58.67967224121094,100.0
97,.,1,33,49.770751953125,inf,33.483253479003906,56.820125579833984,99.2474136352539
98,.,1,34,39.40338897705078,36.00728225708008,33.621150970458984,56.060916900634766,100.0
