id,type,x,y,weight_to_RIGHT,weight_to_UP,weight_to_LEFT,weight_to_DOWN,weight_for_WAIT
0,.,0,0,47.28496969197355,inf,inf,inf,31.645371754128274
1,.,0,1,22.88546108526359,inf,50.83274364110757,33.6135685613366,51.09137229621295
2,.,0,2,39.500122585267455,inf,27.294011704042163,18.109198515584897,76.92663798523331
3,.,0,3,41.1718340262868,inf,43.32385050261519,36.44819248987763,53.35733027021338
4,.,0,4,31.338210387294428,inf,64.0086233907157,inf,19.895880170412052
5,.,0,5,53.378667876307915,inf,54.72580355016307,48.71002994904632,43.29779038364949
6,.,0,6,55.40715153346856,inf,35.115499012482196,inf,17.552404220064027
7,.,0,7,14.074726267973727,inf,34.277761425671336,inf,37.09819468570732
8,.,0,8,58.31180680076044,inf,52.33963644985413,19.479881497862888,39.27226604784876
9,.,0,9,inf,inf,22.881771796972878,12.02231663853581,63.75276919114819
10,@,0,10,inf,inf,inf,inf,inf
11,.,0,11,60.02915833130557,inf,inf,71.85789990172111,42.67359173974021
12,.,0,12,39.940703706394665,inf,58.37454760764461,62.92026043901337,50.55518852345262
13,.,0,13,53.00417075588749,inf,58.09956320500904,45.98180421078325,46.62764136057201
14,.,0,14,67.54140683240227,inf,26.23446872229727,53.78683887896738,81.0944812985443
15,.,0,15,40.944995408493604,inf,51.23454070748751,62.68250964517286,67.03959311049492
16,.,0,16,inf,inf,29.202262787216355,51.886595569970176,18.009081879003347
17,@,0,17,inf,inf,inf,inf,inf
18,.,0,18,37.137883962573206,inf,inf,36.483796197734,46.32783581249365
19,.,0,19,44.57218000857361,inf,68.99659269812908,inf,39.360423738838136
20,.,0,20,inf,inf,49.4656719237552,36.6343218800757,29.485234800904966
21,@,0,21,inf,inf,inf,inf,inf
22,.,0,22,inf,inf,inf,59.21469461323438,77.27303604676831
23,@,0,23,inf,inf,inf,inf,inf
24,.,0,24,54.033878032307356,inf,inf,59.34418476686068,74.30408925582579
25,.,0,25,40.57833283606345,inf,46.39033025554442,inf,49.63329561288634
26,.,0,26,55.60146693470517,inf,55.36159304636132,59.04302316733118,55.82922951092227
27,.,0,27,39.63524330577284,inf,56.61246864620208,61.07733853417448,54.59448990949422
28,.,0,28,43.69399093075381,inf,68.79400825181402,49.04156554353892,38.82296869018557
29,.,0,29,26.67548970909282,inf,43.88213425432518,34.40473622053676,46.26156915119041
30,.,0,30,35.92883890777177,inf,22.718966382262685,62.92650517146354,42.74178150145348
31,.,0,31,inf,inf,46.778332844661776,31.82084431267987,23.65369261656451
32,@,1,0,inf,inf,inf,inf,inf
33,.,1,1,55.93354582951066,65.57112932141146,inf,58.768355153020124,40.85427759183074
34,.,1,2,42.39370605072841,42.91843411843937,32.46560935910653,60.66312322605775,39.91785553699449
35,.,1,3,inf,31.79475873955411,27.810910055485007,49.674288148840475,54.02700460259698
36,@,1,4,inf,inf,inf,inf,inf
37,.,1,5,inf,59.71274710085924,inf,38.47741844272268,48.14276126711829
38,@,1,6,inf,inf,inf,inf,inf
39,@,1,7,inf,inf,inf,inf,inf
40,.,1,8,38.32289925254747,60.568704932945955,inf,69.3376278162744,59.66795155327752
41,.,1,9,40.613334905035785,59.17372733588589,38.25578985302881,43.37531496476406,55.4332768902409
42,.,1,10,34.85493103712156,inf,42.1344261767025,62.35682437144084,46.54314978267714
43,.,1,11,51.093075756846204,54.46741163929676,76.46683599637838,58.3007976323648,71.94361488516094
44,.,1,12,29.95287619183555,71.44153000343073,48.21414457828218,58.59112472130674,62.6875090044736
45,.,1,13,56.706042998511634,62.69373212515381,41.702919029773426,52.66934601127929,61.37324312870413
46,.,1,14,54.05221638634689,54.36823821577845,70.34202760578735,inf,61.25254054225234
47,.,1,15,30.863242794387357,54.38518789708148,56.37895115677587,34.21933480980932,39.93557159429712
48,.,1,16,66.568525619144,58.815860645201234,20.678223035432847,44.89268897000821,91.7134895350646
49,.,1,17,44.50982730529735,inf,53.12228309861335,47.59100649915264,42.14318153293537
50,.,1,18,inf,35.935171684936684,46.636415322712395,47.04109173758854,39.14129632868029
51,@,1,19,inf,inf,inf,inf,inf
52,.,1,20,inf,40.51392132703133,inf,44.94153994686539,51.387723416661004
53,@,1,21,inf,inf,inf,inf,inf
54,.,1,22,52.23751818116159,62.938240171897746,inf,76.18514158434485,53.35755591296095
55,.,1,23,40.7549093747125,inf,57.04930858276363,inf,37.21797841767159
56,.,1,24,inf,32.912066212273764,30.98666144175021,inf,30.6034830384312
57,@,1,25,inf,inf,inf,inf,inf
58,.,1,26,47.852162155088884,84.49164646776444,inf,75.80036756986355,31.30824985819177
59,.,1,27,46.61025262098491,63.91820791097637,70.13885762632876,48.543814054308754,65.01906698564594
60,.,1,28,69.61946539044571,50.02589686457722,43.281324010633554,inf,66.48368381933119
61,.,1,29,11.416099429329064,51.458266622499934,24.309095447444022,36.620213967207704,70.21798289545869
62,.,1,30,48.72507485810612,60.49237374432189,72.8005624509358,38.82745559609189,24.648056007034064
63,.,1,31,inf,47.00097520124384,28.856925646830614,39.843906774363575,26.169559626054717
64,.,2,0,57.819198769235534,inf,inf,31.684173146222285,26.781107301098235
65,.,2,1,63.7499981255648,38.27885828410075,43.18055540299497,58.13151985740536,33.146113914158754
66,.,2,2,48.30602890155518,53.78053115517658,31.76350501325432,83.71098046718149,35.81189532875759
67,.,2,3,61.644953504548944,44.59456191008762,67.66419413473749,46.16351221730852,54.57393160651731
68,.,2,4,69.52653025708138,inf,39.47012295929466,43.390097887111715,36.86533989966777
69,.,2,5,43.705167419898,40.16752371310996,39.8844613868499,inf,46.30950854249078
70,.,2,6,53.193955075463215,inf,67.5164007017954,57.2682936835833,54.969963318471024
71,.,2,7,63.03839926673471,inf,54.92365362458159,inf,57.12024798045515
72,.,2,8,70.36993849616988,53.935136242634464,18.365223956313624,36.74259182582886,26.95976828208522
73,.,2,9,44.76943069220103,67.53274122820217,60.97747435334136,53.51134839817475,30.583435727106004
74,.,2,10,50.21882681422542,45.114493408663904,40.909113966089926,57.70924595255271,50.31614135603135
75,.,2,11,31.600925794721835,48.782891245355835,13.36701282956311,42.91473122974557,29.417056573335582
76,.,2,12,53.22973845180251,35.89610488496729,40.74843880398997,50.79398356601839,47.73922596455213
77,.,2,13,inf,25.639790381395976,40.18390110376719,41.0159608801935,50.65271271467998
78,@,2,14,inf,inf,inf,inf,inf
79,.,2,15,66.46853831887238,34.219271102658006,inf,37.44432824498696,56.435471092077094
80,.,2,16,32.24932000134134,49.80542931982078,43.424816674003914,51.842508073828675,83.25103355615933
81,.,2,17,38.85157197401242,42.210070902875884,38.61163079946381,23.389885719641246,44.3233954809424
82,.,2,18,50.12801298583771,64.42021310522546,50.25349352588999,inf,67.40064166712462
83,.,2,19,37.896671209449224,inf,55.25032743287502,37.26978926146394,32.43773913665098
84,.,2,20,45.201202073935185,45.36165405968378,41.129643428470956,51.41524353685286,45.83936830835118
85,.,2,21,51.12377687729414,inf,50.508497146860286,32.612449332210964,62.485151657968785
86,.,2,22,inf,18.332296664623133,43.204660685849824,45.580166457019764,51.212293546770645
87,@,2,23,inf,inf,inf,inf,inf
88,@,2,24,inf,inf,inf,inf,inf
89,.,2,25,78.58977302137457,inf,inf,57.66209693409469,38.57706268110239
90,.,2,26,42.04788251697955,56.45848631404356,64.07417017550044,22.99108754214255,41.14955555226973
91,.,2,27,inf,54.55798244995559,68.97132744405283,42.14496666804957,32.42456656278263
92,@,2,28,inf,inf,inf,inf,inf
93,.,2,29,57.28222622283252,44.39393075455905,inf,inf,37.369821254097076
94,.,2,30,58.606742278917686,49.875217998748084,61.825986322641896,60.2867857563561,44.585096312735594
95,.,2,31,inf,76.59045650235551,67.00393751338113,51.494850991000135,56.03950141249385
96,.,3,0,41.06193167425756,56.02854249765911,inf,46.082677953116765,47.798007838805255
97,.,3,1,28.90879185772865,47.438810472568335,39.52313231986291,inf,21.078249718479224
98,.,3,2,59.04100887605255,39.626161099751776,50.03053961270558,inf,60.92798873078603
99,.,3,3,50.960480416451354,68.76025205134577,74.67706589843485,51.26769634278777,39.64601495692663
100,.,3,4,inf,62.05686676549011,38.72832011054009,42.99859722063392,40.195871439542195
101,@,3,5,inf,inf,inf,inf,inf
102,.,3,6,inf,49.588389434548255,inf,39.21946538292218,33.95025814221433
103,@,3,7,inf,inf,inf,inf,inf
104,.,3,8,60.06960449847251,66.7716311756406,inf,48.91908031331443,54.19770993207177
105,.,3,9,46.30405824597792,29.630645420488268,63.45014073311052,74.28282886664597,26.322774928676747
106,.,3,10,46.674345952165794,51.73833471264823,64.23731917934131,15.514811391407004,49.088824315431815
107,.,3,11,68.95575140346186,61.348481896653276,52.690070878155694,20.195629195445985,61.789596645222346
108,.,3,12,41.62018813568504,33.314153539888075,87.50284442961711,22.478222068121106,46.081526205300136
109,.,3,13,46.49568318326387,63.322828075599936,31.45916091940187,30.434934605427095,59.92612717753646
110,.,3,14,45.343517116876846,inf,54.82560402384488,inf,37.60136599401286
111,.,3,15,58.609270522270954,59.36529402407704,68.63407180634505,inf,34.13452452327751
112,.,3,16,42.18197068056615,28.609438395999373,44.693708938086786,36.82493582423989,62.51168135200763
