id,type,x,y,weight_to_RIGHT,weight_to_UP,weight_to_LEFT,weight_to_DOWN,weight_for_WAIT
0,.,0,0,0.5,inf,inf,inf,1.0
1,.,0,1,0.5,inf,1.0,0.5,1.0
2,.,0,2,0.5,inf,1.0,1.0,1.0
3,.,0,3,0.5,inf,1.0,0.5,1.0
4,.,0,4,0.5,inf,1.0,inf,1.0
5,.,0,5,0.5,inf,1.0,0.5,1.0
6,.,0,6,0.5,inf,1.0,inf,1.0
7,.,0,7,0.5,inf,1.0,inf,1.0
8,.,0,8,0.5,inf,1.0,1.0,1.0
9,.,0,9,inf,inf,1.0,0.5,1.0
10,@,0,10,inf,inf,inf,inf,inf
11,.,0,11,0.5,inf,inf,0.5,1.0
12,.,0,12,0.5,inf,1.0,1.0,1.0
13,.,0,13,0.5,inf,1.0,0.5,1.0
14,.,0,14,0.5,inf,1.0,1.0,1.0
15,.,0,15,0.5,inf,1.0,0.5,1.0
16,.,0,16,inf,inf,1.0,1.0,1.0
17,@,0,17,inf,inf,inf,inf,inf
18,.,0,18,0.5,inf,inf,1.0,1.0
19,.,0,19,0.5,inf,1.0,inf,1.0
20,.,0,20,inf,inf,1.0,1.0,1.0
21,@,0,21,inf,inf,inf,inf,inf
22,.,0,22,inf,inf,inf,1.0,1.0
23,@,0,23,inf,inf,inf,inf,inf
24,.,0,24,0.5,inf,inf,1.0,1.0
25,.,0,25,0.5,inf,1.0,inf,1.0
26,.,0,26,0.5,inf,1.0,1.0,1.0
27,.,0,27,0.5,inf,1.0,0.5,1.0
28,.,0,28,0.5,inf,1.0,1.0,1.0
29,.,0,29,0.5,inf,1.0,0.5,1.0
30,.,0,30,0.5,inf,1.0,1.0,1.0
31,.,0,31,inf,inf,1.0,0.5,1.0
32,@,1,0,inf,inf,inf,inf,inf
33,.,1,1,1.0,1.0,inf,0.5,1.0
34,.,1,2,1.0,0.5,0.5,1.0,1.0
35,.,1,3,inf,1.0,0.5,0.5,1.0
36,@,1,4,inf,inf,inf,inf,inf
37,.,1,5,inf,1.0,inf,0.5,1.0
38,@,1,6,inf,inf,inf,inf,inf
39,@,1,7,inf,inf,inf,inf,inf
40,.,1,8,1.0,0.5,inf,1.0,1.0
41,.,1,9,1.0,1.0,0.5,0.5,1.0
42,.,1,10,1.0,inf,0.5,1.0,1.0
43,.,1,11,1.0,1.0,0.5,0.5,1.0
44,.,1,12,1.0,0.5,0.5,1.0,1.0
45,.,1,13,1.0,1.0,0.5,0.5,1.0
46,.,1,14,1.0,0.5,0.5,inf,1.0
47,.,1,15,1.0,1.0,0.5,0.5,1.0
48,.,1,16,1.0,0.5,0.5,1.0,1.0
49,.,1,17,1.0,inf,0.5,0.5,1.0
50,.,1,18,inf,0.5,0.5,1.0,1.0
51,@,1,19,inf,inf,inf,inf,inf
52,.,1,20,inf,0.5,inf,1.0,1.0
53,@,1,21,inf,inf,inf,inf,inf
54,.,1,22,1.0,0.5,inf,1.0,1.0
55,.,1,23,1.0,inf,0.5,inf,1.0
56,.,1,24,inf,0.5,0.5,inf,1.0
57,@,1,25,inf,inf,inf,inf,inf
58,.,1,26,1.0,0.5,inf,1.0,1.0
59,.,1,27,1.0,1.0,0.5,0.5,1.0
60,.,1,28,1.0,0.5,0.5,inf,1.0
61,.,1,29,1.0,1.0,0.5,0.5,1.0
62,.,1,30,1.0,0.5,0.5,1.0,1.0
63,.,1,31,inf,1.0,0.5,0.5,1.0
64,.,2,0,0.5,inf,inf,1.0,1.0
65,.,2,1,0.5,1.0,1.0,0.5,1.0
66,.,2,2,0.5,0.5,1.0,1.0,1.0
67,.,2,3,0.5,1.0,1.0,0.5,1.0
68,.,2,4,0.5,inf,1.0,1.0,1.0
69,.,2,5,0.5,1.0,1.0,inf,1.0
70,.,2,6,0.5,inf,1.0,1.0,1.0
71,.,2,7,0.5,inf,1.0,inf,1.0
72,.,2,8,0.5,0.5,1.0,1.0,1.0
73,.,2,9,0.5,1.0,1.0,0.5,1.0
74,.,2,10,0.5,0.5,1.0,1.0,1.0
75,.,2,11,0.5,1.0,1.0,0.5,1.0
76,.,2,12,0.5,0.5,1.0,1.0,1.0
77,.,2,13,inf,1.0,1.0,0.5,1.0
78,@,2,14,inf,inf,inf,inf,inf
79,.,2,15,0.5,1.0,inf,0.5,1.0
80,.,2,16,0.5,0.5,1.0,1.0,1.0
81,.,2,17,0.5,1.0,1.0,0.5,1.0
82,.,2,18,0.5,0.5,1.0,inf,1.0
83,.,2,19,0.5,inf,1.0,0.5,1.0
84,.,2,20,0.5,0.5,1.0,1.0,1.0
85,.,2,21,0.5,inf,1.0,0.5,1.0
86,.,2,22,inf,0.5,1.0,1.0,1.0
87,@,2,23,inf,inf,inf,inf,inf
88,@,2,24,inf,inf,inf,inf,inf
89,.,2,25,0.5,inf,inf,0.5,1.0
90,.,2,26,0.5,0.5,1.0,1.0,1.0
91,.,2,27,inf,1.0,1.0,0.5,1.0
92,@,2,28,inf,inf,inf,inf,inf
93,.,2,29,0.5,1.0,inf,inf,1.0
94,.,2,30,0.5,0.5,1.0,1.0,1.0
95,.,2,31,inf,1.0,1.0,0.5,1.0
96,.,3,0,1.0,0.5,inf,1.0,1.0
97,.,3,1,1.0,1.0,0.5,inf,1.0
98,.,3,2,1.0,0.5,0.5,inf,1.0
99,.,3,3,1.0,1.0,0.5,0.5,1.0
100,.,3,4,inf,0.5,0.5,1.0,1.0
101,@,3,5,inf,inf,inf,inf,inf
102,.,3,6,inf,0.5,inf,1.0,1.0
103,@,3,7,inf,inf,inf,inf,inf
104,.,3,8,1.0,0.5,inf,1.0,1.0
105,.,3,9,1.0,1.0,0.5,0.5,1.0
106,.,3,10,1.0,0.5,0.5,1.0,1.0
107,.,3,11,1.0,1.0,0.5,0.5,1.0
108,.,3,12,1.0,0.5,0.5,1.0,1.0
109,.,3,13,1.0,1.0,0.5,0.5,1.0
110,.,3,14,1.0,inf,0.5,inf,1.0
111,.,3,15,1.0,1.0,0.5,inf,1.0
112,.,3,16,1.0,0.5,0.5,1.0,1.0
113,.,3,17,inf,1.0,0.5,inf,1.0
114,@,3,18,inf,inf,inf,inf,inf
115,.,3,19,1.0,1.0,inf,0.5,1.0
116,.,3,20,1.0,0.5,0.5,1.0,1.0
117,.,3,21,1.0,1.0,0.5,0.5,1.0
118,.,3,22,1.0,0.5,0.5,1.0,1.0
119,.,3,23,1.0,inf,0.5,0.5,1.0
120,.,3,24,1.0,inf,0.5,inf,1.0
121,.,3,25,1.0,1.0,0.5,0.5,1.0
122,.,3,26,1.0,0.5,0.5,1.0,1.0
123,.,3,27,1.0,1.0,0.5,inf,1.0
124,.,3,28,inf,inf,0.5,1.0,1.0
125,@,3,29,inf,inf,inf,inf,inf
126,.,3,30,1.0,0.5,inf,1.0,1.0
127,.,3,31,inf,1.0,0.5,0.5,1.0
128,.,4,0,inf,0.5,inf,1.0,1.0
129,@,4,1,inf,inf,inf,inf,inf
130,@,4,2,inf,inf,inf,inf,inf
131,.,4,3,0.5,1.0,inf,0.5,1.0
132,.,4,4,0.5,0.5,1.0,1.0,1.0
133,.,4,5,0.5,inf,1.0,0.5,1.0
134,.,4,6,0.5,0.5,1.0,inf,1.0
135,.,4,7,0.5,inf,1.0,0.5,1.0
136,.,4,8,0.5,0.5,1.0,1.0,1.0
137,.,4,9,0.5,1.0,1.0,inf,1.0
138,.,4,10,0.5,0.5,1.0,1.0,1.0
139,.,4,11,0.5,1.0,1.0,inf,1.0
140,.,4,12,0.5,0.5,1.0,1.0,1.0
141,.,4,13,inf,1.0,1.0,0.5,1.0
142,@,4,14,inf,inf,inf,inf,inf
143,@,4,15,inf,inf,inf,inf,inf
144,.,4,16,inf,0.5,inf,1.0,1.0
145,@,4,17,inf,inf,inf,inf,inf
146,.,4,18,0.5,inf,inf,1.0,1.0
147,.,4,19,0.5,1.0,1.0,0.5,1.0
148,.,4,20,0.5,0.5,1.0,1.0,1.0
149,.,4,21,0.5,1.0,1.0,0.5,1.0
150,.,4,22,0.5,0.5,1.0,inf,1.0
151,.,4,23,inf,1.0,1.0,0.5,1.0
152,@,4,24,inf,inf,inf,inf,inf
153,.,4,25,0.5,1.0,inf,0.5,1.0
154,.,4,26,inf,0.5,1.0,1.0,1.0
155,@,4,27,inf,inf,inf,inf,inf
156,.,4,28,0.5,0.5,inf,1.0,1.0
157,.,4,29,0.5,inf,1.0,0.5,1.0
158,.,4,30,0.5,0.5,1.0,inf,1.0
159,.,4,31,inf,1.0,1.0,inf,1.0
160,.,5,0,1.0,0.5,inf,1.0,1.0
161,.,5,1,1.0,inf,0.5,0.5,1.0
162,.,5,2,1.0,inf,0.5,1.0,1.0
163,.,5,3,1.0,1.0,0.5,0.5,1.0
164,.,5,4,1.0,0.5,0.5,1.0,1.0
165,.,5,5,inf,1.0,0.5,0.5,1.0
166,@,5,6,inf,inf,inf,inf,inf
167,.,5,7,1.0,1.0,inf,0.5,1.0
168,.,5,8,inf,0.5,0.5,1.0,1.0
169,@,5,9,inf,inf,inf,inf,inf
170,.,5,10,inf,0.5,inf,inf,1.0
171,@,5,11,inf,inf,inf,inf,inf
172,.,5,12,1.0,0.5,inf,1.0,1.0
173,.,5,13,inf,1.0,0.5,0.5,1.0
174,@,5,14,inf,inf,inf,inf,inf
175,@,5,15,inf,inf,inf,inf,inf
176,.,5,16,1.0,0.5,inf,1.0,1.0
177,.,5,17,1.0,inf,0.5,0.5,1.0
178,.,5,18,1.0,0.5,0.5,1.0,1.0
179,.,5,19,1.0,1.0,0.5,inf,1.0
180,.,5,20,1.0,0.5,0.5,1.0,1.0
181,.,5,21,inf,1.0,0.5,0.5,1.0
182,@,5,22,inf,inf,inf,inf,inf
183,.,5,23,1.0,1.0,inf,0.5,1.0
184,.,5,24,1.0,inf,0.5,1.0,1.0
185,.,5,25,1.0,1.0,0.5,0.5,1.0
186,.,5,26,inf,0.5,0.5,1.0,1.0
187,@,5,27,inf,inf,inf,inf,inf
188,.,5,28,1.0,0.5,inf,1.0,1.0
189,.,5,29,inf,1.0,0.5,0.5,1.0
190,@,5,30,inf,inf,inf,inf,inf
191,@,5,31,inf,inf,inf,inf,inf
192,.,6,0,0.5,0.5,inf,1.0,1.0
193,.,6,1,0.5,1.0,1.0,inf,1.0
194,.,6,2,0.5,0.5,1.0,1.0,1.0
195,.,6,3,0.5,1.0,1.0,0.5,1.0
196,.,6,4,0.5,0.5,1.0,1.0,1.0
197,.,6,5,inf,1.0,1.0,inf,1.0
198,@,6,6,inf,inf,inf,inf,inf
199,.,6,7,0.5,1.0,inf,0.5,1.0
200,.,6,8,inf,0.5,1.0,1.0,1.0
201,@,6,9,inf,inf,inf,inf,inf
202,@,6,10,inf,inf,inf,inf,inf
203,.,6,11,0.5,inf,inf,0.5,1.0
204,.,6,12,0.5,0.5,1.0,1.0,1.0
205,.,6,13,0.5,1.0,1.0,0.5,1.0
206,.,6,14,0.5,inf,1.0,1.0,1.0
207,.,6,15,0.5,inf,1.0,0.5,1.0
208,.,6,16,0.5,0.5,1.0,1.0,1.0
209,.,6,17,0.5,1.0,1.0,0.5,1.0
210,.,6,18,inf,0.5,1.0,1.0,1.0
211,@,6,19,inf,inf,inf,inf,inf
212,.,6,20,0.5,0.5,inf,1.0,1.0
213,.,6,21,0.5,1.0,1.0,inf,1.0
214,.,6,22,0.5,inf,1.0,inf,1.0
215,.,6,23,0.5,1.0,1.0,0.5,1.0
