id,type,x,y,weight_to_RIGHT,weight_to_UP,weight_to_LEFT,weight_to_DOWN,weight_for_WAIT
0,@,0,0,inf,inf,inf,inf,inf
1,@,0,1,inf,inf,inf,inf,inf
2,@,0,2,inf,inf,inf,inf,inf
3,.,0,3,inf,inf,inf,5.153217792510986,0.10000000149011612
4,@,0,4,inf,inf,inf,inf,inf
5,@,0,5,inf,inf,inf,inf,inf
6,@,0,6,inf,inf,inf,inf,inf
7,@,0,7,inf,inf,inf,inf,inf
8,@,0,8,inf,inf,inf,inf,inf
9,@,0,9,inf,inf,inf,inf,inf
10,@,0,10,inf,inf,inf,inf,inf
11,@,0,11,inf,inf,inf,inf,inf
12,@,0,12,inf,inf,inf,inf,inf
13,@,0,13,inf,inf,inf,inf,inf
14,@,0,14,inf,inf,inf,inf,inf
15,@,0,15,inf,inf,inf,inf,inf
16,@,0,16,inf,inf,inf,inf,inf
17,@,0,17,inf,inf,inf,inf,inf
18,@,0,18,inf,inf,inf,inf,inf
19,.,0,19,inf,inf,inf,5.153217792510986,0.10000000149011612
20,@,0,20,inf,inf,inf,inf,inf
21,@,0,21,inf,inf,inf,inf,inf
22,@,0,22,inf,inf,inf,inf,inf
23,@,0,23,inf,inf,inf,inf,inf
24,@,0,24,inf,inf,inf,inf,inf
25,@,0,25,inf,inf,inf,inf,inf
26,.,0,26,inf,inf,inf,5.481660842895508,0.10000000149011612
27,@,0,27,inf,inf,inf,inf,inf
28,@,0,28,inf,inf,inf,inf,inf
29,@,0,29,inf,inf,inf,inf,inf
30,@,0,30,inf,inf,inf,inf,inf
31,@,0,31,inf,inf,inf,inf,inf
32,@,0,32,inf,inf,inf,inf,inf
33,@,0,33,inf,inf,inf,inf,inf
34,.,0,34,inf,inf,inf,5.530184268951416,0.10000000149011612
35,@,0,35,inf,inf,inf,inf,inf
36,@,0,36,inf,inf,inf,inf,inf
37,@,0,37,inf,inf,inf,inf,inf
38,@,0,38,inf,inf,inf,inf,inf
39,@,0,39,inf,inf,inf,inf,inf
40,@,0,40,inf,inf,inf,inf,inf
41,@,0,41,inf,inf,inf,inf,inf
42,@,0,42,inf,inf,inf,inf,inf
43,@,0,43,inf,inf,inf,inf,inf
44,@,0,44,inf,inf,inf,inf,inf
45,@,0,45,inf,inf,inf,inf,inf
46,@,0,46,inf,inf,inf,inf,inf
47,@,0,47,inf,inf,inf,inf,inf
48,@,0,48,inf,inf,inf,inf,inf
49,.,0,49,inf,inf,inf,5.705028533935547,0.10000000149011612
50,@,0,50,inf,inf,inf,inf,inf
51,@,0,51,inf,inf,inf,inf,inf
52,@,0,52,inf,inf,inf,inf,inf
53,@,0,53,inf,inf,inf,inf,inf
54,@,0,54,inf,inf,inf,inf,inf
55,@,0,55,inf,inf,inf,inf,inf
56,@,0,56,inf,inf,inf,inf,inf
57,.,0,57,inf,inf,inf,5.712442874908447,0.10000000149011612
58,@,0,58,inf,inf,inf,inf,inf
59,@,0,59,inf,inf,inf,inf,inf
60,@,0,60,inf,inf,inf,inf,inf
61,@,0,61,inf,inf,inf,inf,inf
62,@,0,62,inf,inf,inf,inf,inf
63,@,0,63,inf,inf,inf,inf,inf
64,@,1,0,inf,inf,inf,inf,inf
65,.,1,1,11.423803329467773,inf,inf,5.153217792510986,0.10000000149011612
66,.,1,2,11.492637634277344,inf,13.456059455871582,5.153217792510986,0.10000000149011612
67,.,1,3,11.474311828613281,7.98537015914917,13.0203857421875,5.153217792510986,0.10000000149011612
68,.,1,4,11.245034217834473,inf,13.932340621948242,5.153217792510986,0.10000000149011612
69,.,1,5,11.575820922851562,inf,13.0203857421875,5.153217792510986,0.10000000149011612
70,.,1,6,11.267327308654785,inf,14.345973014831543,5.153217792510986,0.10000000149011612
71,.,1,7,inf,inf,13.0203857421875,5.153217792510986,0.10000000149011612
72,@,1,8,inf,inf,inf,inf,inf
73,.,1,9,11.490017890930176,inf,inf,5.153217792510986,0.10000000149011612
74,.,1,10,11.477555274963379,inf,13.142165184020996,5.153217792510986,0.10000000149011612
75,.,1,11,11.678555488586426,inf,13.0203857421875,5.153217792510986,0.10000000149011612
76,.,1,12,11.54763126373291,inf,13.569517135620117,5.153217792510986,0.10000000149011612
77,.,1,13,11.61773681640625,inf,13.038180351257324,5.153217792510986,0.10000000149011612
78,.,1,14,11.223563194274902,inf,14.913324356079102,5.219088554382324,0.27306050062179565
79,.,1,15,inf,inf,13.0203857421875,5.153217792510986,0.10000000149011612
80,@,1,16,inf,inf,inf,inf,inf
81,.,1,17,11.332265853881836,inf,inf,5.153217792510986,0.10000000149011612
82,.,1,18,11.333044052124023,inf,13.79787826538086,5.153217792510986,0.10000000149011612
83,.,1,19,11.337489128112793,2.258023738861084,13.034157752990723,5.153217792510986,0.10000000149011612
84,.,1,20,11.132241249084473,inf,13.70936393737793,5.691501140594482,0.10000000149011612
85,.,1,21,11.198330879211426,inf,13.523160934448242,5.153217792510986,0.10000000149011612
86,.,1,22,11.142108917236328,inf,13.725967407226562,5.153217792510986,0.10000000149011612
87,.,1,23,inf,inf,13.918811798095703,5.818892002105713,0.10000000149011612
88,@,1,24,inf,inf,inf,inf,inf
89,.,1,25,11.092647552490234,inf,inf,5.3485636711120605,0.10000000149011612
90,.,1,26,11.0750150680542,0.10000000149011612,13.895310401916504,5.363788604736328,0.10000000149011612
91,.,1,27,11.096571922302246,inf,13.928468704223633,5.446513652801514,0.10000000149011612
92,.,1,28,11.112980842590332,inf,13.888152122497559,5.34725284576416,0.10000000149011612
93,.,1,29,11.109020233154297,inf,13.881584167480469,5.294126510620117,0.10000000149011612
94,.,1,30,11.110230445861816,inf,13.92963981628418,5.4029669761657715,0.10000000149011612
95,.,1,31,inf,inf,13.980374336242676,5.694202899932861,0.10000000149011612
96,@,1,32,inf,inf,inf,inf,inf
97,.,1,33,11.096607208251953,inf,inf,5.312178611755371,0.10000000149011612
98,.,1,34,11.06660270690918,0.10000000149011612,13.953638076782227,5.516073226928711,0.10000000149011612
99,.,1,35,11.112998008728027,inf,13.90267276763916,5.337381839752197,0.10000000149011612
100,.,1,36,11.123015403747559,inf,13.808927536010742,5.153217792510986,0.10000000149011612
101,.,1,37,11.120589256286621,inf,13.879714965820312,5.520039081573486,0.10000000149011612
102,.,1,38,11.106770515441895,inf,13.938932418823242,5.4979047775268555,0.10000000149011612
103,.,1,39,inf,inf,13.983405113220215,5.679762840270996,0.10000000149011612
104,@,1,40,inf,inf,inf,inf,inf
105,.,1,41,11.077009201049805,inf,inf,5.602084159851074,0.10000000149011612
106,.,1,42,11.08165454864502,inf,13.954217910766602,5.4772233963012695,0.10000000149011612
107,.,1,43,11.104460716247559,inf,13.88063907623291,5.252848148345947,0.10000000149011612
108,.,1,44,11.113837242126465,inf,13.884744644165039,5.361851692199707,0.10000000149011612
109,.,1,45,11.107192039489746,inf,13.874747276306152,5.25935173034668,0.10000000149011612
110,.,1,46,11.11030101776123,inf,13.898602485656738,5.257451057434082,0.10000000149011612
111,.,1,47,inf,inf,13.971524238586426,5.703220367431641,0.10000000149011612
112,@,1,48,inf,inf,inf,inf,inf
113,.,1,49,11.081501960754395,0.10000000149011612,inf,5.418084621429443,0.10000000149011612
114,.,1,50,11.0734281539917,inf,13.998711585998535,5.621449947357178,0.10000000149011612
115,.,1,51,11.098125457763672,inf,13.92885971069336,5.39186429977417,0.10000000149011612
116,.,1,52,11.10041618347168,inf,13.924131393432617,5.37820291519165,0.10000000149011612
