id,type,x,y,weight_to_RIGHT,weight_to_UP,weight_to_LEFT,weight_to_DOWN,weight_for_WAIT
0,@,0,0,inf,inf,inf,inf,inf
1,@,0,1,inf,inf,inf,inf,inf
2,@,0,2,inf,inf,inf,inf,inf
3,.,0,3,inf,inf,inf,53.15961855661145,47.781101019800786
4,@,0,4,inf,inf,inf,inf,inf
5,@,0,5,inf,inf,inf,inf,inf
6,@,0,6,inf,inf,inf,inf,inf
7,@,0,7,inf,inf,inf,inf,inf
8,@,0,8,inf,inf,inf,inf,inf
9,@,0,9,inf,inf,inf,inf,inf
10,@,0,10,inf,inf,inf,inf,inf
11,@,0,11,inf,inf,inf,inf,inf
12,@,0,12,inf,inf,inf,inf,inf
13,@,0,13,inf,inf,inf,inf,inf
14,@,0,14,inf,inf,inf,inf,inf
15,@,0,15,inf,inf,inf,inf,inf
16,@,0,16,inf,inf,inf,inf,inf
17,@,0,17,inf,inf,inf,inf,inf
18,@,0,18,inf,inf,inf,inf,inf
19,.,0,19,inf,inf,inf,67.76219037556926,55.352130458495836
20,@,0,20,inf,inf,inf,inf,inf
21,@,0,21,inf,inf,inf,inf,inf
22,@,0,22,inf,inf,inf,inf,inf
23,@,0,23,inf,inf,inf,inf,inf
24,@,0,24,inf,inf,inf,inf,inf
25,@,0,25,inf,inf,inf,inf,inf
26,.,0,26,inf,inf,inf,19.18540391225534,54.22304889814016
27,@,0,27,inf,inf,inf,inf,inf
28,@,0,28,inf,inf,inf,inf,inf
29,@,0,29,inf,inf,inf,inf,inf
30,@,0,30,inf,inf,inf,inf,inf
31,@,0,31,inf,inf,inf,inf,inf
32,@,0,32,inf,inf,inf,inf,inf
33,@,0,33,inf,inf,inf,inf,inf
34,.,0,34,inf,inf,inf,62.05397869697281,70.2981054089417
35,@,0,35,inf,inf,inf,inf,inf
36,@,0,36,inf,inf,inf,inf,inf
37,@,0,37,inf,inf,inf,inf,inf
38,@,0,38,inf,inf,inf,inf,inf
39,@,0,39,inf,inf,inf,inf,inf
40,@,0,40,inf,inf,inf,inf,inf
41,@,0,41,inf,inf,inf,inf,inf
42,@,0,42,inf,inf,inf,inf,inf
43,@,0,43,inf,inf,inf,inf,inf
44,@,0,44,inf,inf,inf,inf,inf
45,@,0,45,inf,inf,inf,inf,inf
46,@,0,46,inf,inf,inf,inf,inf
47,@,0,47,inf,inf,inf,inf,inf
48,@,0,48,inf,inf,inf,inf,inf
49,.,0,49,inf,inf,inf,40.26672475158612,54.50587130874435
50,@,0,50,inf,inf,inf,inf,inf
51,@,0,51,inf,inf,inf,inf,inf
52,@,0,52,inf,inf,inf,inf,inf
53,@,0,53,inf,inf,inf,inf,inf
54,@,0,54,inf,inf,inf,inf,inf
55,@,0,55,inf,inf,inf,inf,inf
56,@,0,56,inf,inf,inf,inf,inf
57,.,0,57,inf,inf,inf,49.244366684773134,37.53363858057495
58,@,0,58,inf,inf,inf,inf,inf
59,@,0,59,inf,inf,inf,inf,inf
60,@,0,60,inf,inf,inf,inf,inf
61,@,0,61,inf,inf,inf,inf,inf
62,@,0,62,inf,inf,inf,inf,inf
63,@,0,63,inf,inf,inf,inf,inf
64,@,1,0,inf,inf,inf,inf,inf
65,.,1,1,68.22543249686296,inf,inf,61.19213060836481,12.409125756265654
66,.,1,2,55.45395944411318,inf,40.16349774280854,40.69196163413521,25.401096280874356
67,.,1,3,60.633335299672524,55.744278518675856,64.25147488353039,29.88106191651856,38.81318526267345
68,.,1,4,65.5425193986871,inf,43.41265368739986,37.47807116574757,36.21958582996762
69,.,1,5,41.11868221174603,inf,28.39615463293098,60.48726256420781,72.36601325863104
70,.,1,6,46.25874132410572,inf,50.59669761664356,37.66671748274541,69.88901459857641
71,.,1,7,inf,inf,69.13899219650786,27.473480422499343,42.71136091653741
72,@,1,8,inf,inf,inf,inf,inf
73,.,1,9,65.1590823318815,inf,inf,32.547116798340994,49.00605386565511
74,.,1,10,32.4301199167352,inf,30.04991689717005,41.01269309764635,47.874882108158964
75,.,1,11,63.66038770441878,inf,35.88965532074163,27.74048371298074,59.968745744974285
76,.,1,12,45.458169887744084,inf,33.94992897636697,38.99416762790833,48.61638517208269
77,.,1,13,44.07142689411467,inf,48.902906496051926,47.714006456726935,58.34284855721286
78,.,1,14,44.65299512450237,inf,50.60568512635844,65.20486050659821,69.54959537170174
79,.,1,15,inf,inf,33.13191977626729,50.108306595268424,31.36508196465321
80,@,1,16,inf,inf,inf,inf,inf
81,.,1,17,45.10920804725173,inf,inf,35.653875478963904,50.02830917461551
82,.,1,18,32.57276563914974,inf,34.55421015572169,43.64475469786456,16.969752619026092
83,.,1,19,50.8695318690353,54.395936361210474,57.10091807950267,49.595342882378624,52.82799626635201
84,.,1,20,48.65584741357745,inf,17.817644030062418,46.50977893354427,43.06988955494195
85,.,1,21,59.51351242006193,inf,42.95001700507835,57.3215196132849,49.54425277283803
86,.,1,22,46.05669981684005,inf,82.10669937632655,31.961864948901464,37.54275241446403
87,.,1,23,inf,inf,37.69249332462602,42.68428557321474,89.08582051318814
88,@,1,24,inf,inf,inf,inf,inf
89,.,1,25,29.579578842972488,inf,inf,3.0078299805479056,85.84968550961008
90,.,1,26,60.31320793120688,27.9702696417374,25.61728516935064,33.56628897663171,28.663499944707205
91,.,1,27,52.47460030961165,inf,55.68204463364828,63.87899888277855,47.85384434750736
92,.,1,28,45.86169221186213,inf,33.00353983562822,58.20939418610051,47.39656280206087
93,.,1,29,69.82771968116194,inf,40.378451424691434,44.15446560420092,36.17700615119961
94,.,1,30,66.70113740995221,inf,49.86370421077657,39.704617671557024,49.2720020691857
95,.,1,31,inf,inf,58.04473897634383,52.90681049175448,78.57467769267056
96,@,1,32,inf,inf,inf,inf,inf
97,.,1,33,62.15500972954492,inf,inf,64.20018123369294,20.926871087715107
98,.,1,34,59.55664305920655,67.14048854654288,69.59645677697699,43.89114702471179,71.35683892136029
99,.,1,35,35.129566672969716,inf,33.169920647250166,21.361645898268492,43.83935368113048
100,.,1,36,45.09275783864074,inf,54.5323274488268,66.1838734676478,32.54748650862817
101,.,1,37,48.242215169974045,inf,43.07400952905903,52.06464219357785,65.31342184629113
102,.,1,38,73.00302332653145,inf,60.55611864798231,38.26088225396873,38.329943596377056
103,.,1,39,inf,inf,38.45714325957136,23.218123376021325,40.58694878580848
104,@,1,40,inf,inf,inf,inf,inf
105,.,1,41,52.92311971405653,inf,inf,42.70741320755992,62.78875726064003
106,.,1,42,27.989314426809486,inf,48.70191654842175,49.81571393273415,44.89941255687032
107,.,1,43,42.94423392055621,inf,45.0543994831593,43.17766222661451,40.93940661670961
108,.,1,44,46.53029691425084,inf,43.461421091048656,49.287612565631115,45.948632645404984
109,.,1,45,83.69957235418772,inf,51.23453966919117,57.41786437350174,55.34714419226165
110,.,1,46,35.0370064103016,inf,23.059140880807668,50.81722321856801,39.17773010924977
111,.,1,47,inf,inf,38.52604503685319,37.61659909679518,41.414359111749235
112,@,1,48,inf,inf,inf,inf,inf
113,.,1,49,52.09531933608354,18.05289570865241,inf,62.63674428204262,48.71455352946212
114,.,1,50,61.813207511482034,inf,66.56683209655307,39.24901913329186,57.03629789658813
115,.,1,51,34.501198295615765,inf,31.94190091797592,71.4349350446197,65.13727022080352
116,.,1,52,50.86210499418493,inf,43.277394018062594,48.767842536038366,57.093104601198384
117,.,1,53,44.330814236060014,inf,32.71014585680721,20.303696059370193,52.85118963697971
118,.,1,54,53.43581632151742,inf,44.384664034454865,50.53112272987375,66.09560761674979
